Orden|Apellido|Total
1127|SARABIA|4551
1128|ANGEL|4550
1129|MIGUELEZ|4539
1130|ESCRIVA|4535
1131|CLAVIJO|4517
1132|GEA|4516
1133|CISNEROS|4513
1134|TERRON|4504
1135|GINES|4501
1136|RONCERO|4499
1137|MONTAÑES|4495
1138|JODAR|4494
1139|GRANDA|4492
1140|PARRAGA|4489
1141|YANG|4483
1142|NORIEGA|4477
1143|PELAYO|4475
1144|LLUCH|4475
1145|DE FRUTOS|4475
1146|CARBAJO|4474
1147|MONTESDEOCA|4472
1148|AGUIAR|4463
1149|VELASQUEZ|4463
1150|POZUELO|4460
1151|DIOP|4459
1152|BERLANGA|4446
1153|PALMERO|4446
1154|REGUERA|4442
1155|ALMANSA|4437
1156|MICO|4418
1157|DE JESUS|4415
1158|BAYO|4409
1159|AGUERA|4408
1160|JUSTO|4408
1161|VALLADARES|4402
1162|PUCHE|4400
1163|SILES|4392
1164|PORTO|4391
1165|ARCAS|4373
1166|BERTRAN|4371
1167|RAPOSO|4369
1168|PRIEGO|4363
1169|MORALEDA|4360
1170|REGUEIRO|4358
1171|MORANTE|4341
1172|PEÑAS|4338
1173|RADU|4335
1174|ABELLA|4329
1175|TENORIO|4328
1176|UTRERA|4325
1177|MORGADO|4324
1178|QUEROL|4320
1179|MURO|4317
1180|TRIGUERO|4316
1181|MARIA|4315
1182|MILLA|4311
1183|IVANOVA|4305
1184|CASTRILLO|4303
1185|PLANA|4292
1186|GAZQUEZ|4291
1187|VACAS|4290
1188|MORELL|4284
1189|INFANTES|4283
1190|ZAMBRANA|4283
1191|CABAÑAS|4280
1192|MAQUEDA|4277
1193|CARRACEDO|4273
1194|CEPEDA|4271
1195|MONROY|4260
1196|GRANERO|4254
1197|PANADERO|4253
1198|CARBO|4248
1199|ALMAZAN|4223
1200|MACHO|4219
1201|CARABALLO|4219
1202|CARAVACA|4216
1203|POMARES|4215
1204|MANJON|4211
1205|ROA|4208
1206|PLATA|4207
1207|CASTEJON|4206
1208|ESCALONA|4203
1209|TORNERO|4200
1210|FORTES|4198
1211|VILLARREAL|4195
